id;nom;prenom;genre;dateNaissance;codePostal;telephone;parcours;ects;moyenne;login;password;status
15;Lemaitre;Jeannine;NULL;NULL;NULL;NULL;gsi;30;16,114;JeannineLemaitre@cy-tech.fr;$2y$10$GlJIvGw4wPWiq6XCFLKaU.NM.08XPjLIbarqhrrrDdJhmXT0wW0hy;etudiant
16;Humbert;Joséphine;NULL;NULL;NULL;NULL;gsi;30;16,066;JoséphineHumbert@cy-tech.fr;$2y$10$LIUBFSm1.FOeMfP90FRfh.mIH6FRtZAHEApOcYiTVujHNAYXW29vO;etudiant
17;Lenoir;Benoît;NULL;NULL;NULL;NULL;gsi;30;16,06;BenoîtLenoir@cy-tech.fr;$2y$10$rHewHIUXit3TUSVjFSJqoOavyiHr0AkA8LZ0QWGthy/TjjSYy1CUC;etudiant
18;Marty;Pénélope;NULL;NULL;NULL;NULL;gsi;30;16,038;PénélopeMarty@cy-tech.fr;$2y$10$vZOvzAK.Y615ntnfefsFNef9Mx5sYXDa8i36KeHvN9k.pYj2osGna;etudiant
19;Ramos;Alfred;NULL;NULL;NULL;NULL;gsi;30;15,958;AlfredRamos@cy-tech.fr;$2y$10$n4O2gorxTXbOnOkK/O3it.4cSFhCI44.ujeJGXa45gd4gkm6ijPau;etudiant
20;Normand;Philippine;NULL;NULL;NULL;NULL;gsi;30;15,873;PhilippineNormand@cy-tech.fr;$2y$10$kpk9OxU2vHovjWvIhhQwxOVZQ4YZ9pHXuFn4y0bhaTM9iKO5eLvAO;etudiant
21;Dufour-Gallet;Luc;NULL;NULL;NULL;NULL;gsi;30;15,779;LucDufour-Gallet@cy-tech.fr;$2y$10$XbOfILRS7n4YmmPeuj8nOu3rKa3BppYpm9bZqTQ03N71o7c0IGZbS;etudiant
22;Gros;Corinne;NULL;NULL;NULL;NULL;gsi;30;15,758;CorinneGros@cy-tech.fr;$2y$10$GbJzq6ad8PXQgqwi3jGnPuIY.VEkzzlAQq5k71Zu8vfo0slVz.4fC;etudiant
23;Dijoux;Isabelle;NULL;NULL;NULL;NULL;gsi;30;15,746;IsabelleDijoux@cy-tech.fr;$2y$10$jysynNVMFMjGoto6SbQkw.jnFHxvwI3LO9s94lj57JkFr84h7ikVS;etudiant
24;Gaillard;Dominique;NULL;NULL;NULL;NULL;gsi;30;15,715;DominiqueGaillard@cy-tech.fr;$2y$10$MJtQn5fkibEHAI8cO9wwpOxx5ORnHe6nKX84UxMj1eiSdLWRKlY42;etudiant
25;Ribeiro;Pénélope;NULL;NULL;NULL;NULL;gsi;30;15,709;PénélopeRibeiro@cy-tech.fr;$2y$10$RES.ZXu20qUSOlUSwd8UBOBumwG/uI7gVrU7C90PIg4D0orfS715e;etudiant
26;Marchal;Zacharie;NULL;NULL;NULL;NULL;gsi;30;15,695;ZacharieMarchal@cy-tech.fr;$2y$10$TQh..CVoLe4axz6aqSltCeahO7ZX.XTBknFr6pYeMpCJ9TasJrfUK;etudiant
27;Guillou;Marc;NULL;NULL;NULL;NULL;gsi;30;15,646;MarcGuillou@cy-tech.fr;$2y$10$mhmuhXhNRf2Lgjsmh/TqUOa0lAXt6F/ptJkArzQ4hEUj2tbUaawBq;etudiant
28;Masson;Benjamin;NULL;NULL;NULL;NULL;gsi;30;15,623;BenjaminMasson@cy-tech.fr;$2y$10$rmNyhfVgah7uUoBYmdoCc.eb/SJPoWHd3TQbjaHpenNkOK87bvPeK;etudiant
29;Bonnet;Georges;NULL;NULL;NULL;NULL;gsi;30;15,575;GeorgesBonnet@cy-tech.fr;$2y$10$mL/b4VExlvHXn2lfz5KyMuLKyYSmqj7MrPDtD.4jB5jbXN2X5vSdK;etudiant
30;Foucher;Jérôme;NULL;NULL;NULL;NULL;gsi;30;15,568;JérômeFoucher@cy-tech.fr;$2y$10$Hy2Gm93w8HcyF2hvYeGUKeTFz6tx9LlyMMYWt2.sBvFnqdVUVHYP2;etudiant
31;Faure;Emmanuelle;NULL;NULL;NULL;NULL;gsi;30;15,567;EmmanuelleFaure@cy-tech.fr;$2y$10$7rSCjoFz93Q0FVNoXZ/SvOGDEkms6KxKdgIVzowHEbVOmQ3Tu5yK.;etudiant
32;Louis;David;NULL;NULL;NULL;NULL;gsi;30;15,55;DavidLouis@cy-tech.fr;$2y$10$WCfUl3ov28gI3xhw1N3TJesopPC3cvZ17UsTOuKkIVowURu8zloUS;etudiant
33;Rocher;Andrée;NULL;NULL;NULL;NULL;gsi;30;15,535;AndréeRocher@cy-tech.fr;$2y$10$2SAeXWR/Pa9XY0MLzPnuPO1AMhilqSS2iyXcEQDOd6F8RMmU.ZiYG;etudiant
34;Guerin;Gérard;NULL;NULL;NULL;NULL;gsi;30;15,527;GérardGuerin@cy-tech.fr;$2y$10$xD7sCxv7VHhf6Ob86HR3mOnxma40.xkL/mkk6ezSIS5svNpqboxna;etudiant
35;Bailly;Caroline;NULL;NULL;NULL;NULL;gsi;30;15,491;CarolineBailly@cy-tech.fr;$2y$10$18Yj4Yf8pvZgsFNshNz6GuWu7UrftGVmW4sGQSFmWvRHMHBf54ngi;etudiant
36;Lucas;Christelle;NULL;NULL;NULL;NULL;gsi;30;15,474;ChristelleLucas@cy-tech.fr;$2y$10$Sj5/x1GLhmZ0pyEz2qFVtuitTmPpd/xdIr0VD.pe3tBgWKS0Gy2qe;etudiant
37;Morel;Hugues;NULL;NULL;NULL;NULL;gsi;30;15,468;HuguesMorel@cy-tech.fr;$2y$10$8aVs.NSJpRpQ/WEVEdIjG.JCy4TXMirDCOEuWiL0mofXAqkabkVHe;etudiant
38;Blanc;Thibault-Charles;NULL;NULL;NULL;NULL;gsi;30;15,448;Thibault-CharlesBlanc@cy-tech.fr;$2y$10$UADRpABZDhX54SLcE7n25.2LE6DOjkc2vzw5SWtPpy7obZU.7hXmC;etudiant
39;Allard;Étienne-Gilbert;NULL;NULL;NULL;NULL;gsi;30;15,348;Étienne-GilbertAllard@cy-tech.fr;$2y$10$lB/MiYRIWL25GxNXXQxzoOs6PnlJwiJfGDKqM5me3r4ktcRyrOzrO;etudiant
40;Bernard;Zacharie;NULL;NULL;NULL;NULL;gsi;30;15,305;ZacharieBernard@cy-tech.fr;$2y$10$JgJEGknpSOKJ5IuhfnpTDekdyat37pLvlEGJ9vwbvK7y4Blh1axmW;etudiant
41;Lopez;daisy;NULL;NULL;NULL;NULL;gsi;30;15,276;daisyLopez@cy-tech.fr;$2y$10$8HVAKR2DGHtO1TYuwSoaFONaXPMqafZB91xgoh06bv897otocxKM6;etudiant
42;Legendre;Émile-Olivier;NULL;NULL;NULL;NULL;gsi;30;15,221;Émile-OlivierLegendre@cy-tech.fr;$2y$10$UWEQAPdBbAQHOCGmP.GRC.z2rddvM9vZXOzSxTiC.6nsfT2Wp6qpa;etudiant
43;Leclerc;Claire;NULL;NULL;NULL;NULL;gsi;30;15,212;ClaireLeclerc@cy-tech.fr;$2y$10$HdUpR2Lqvr5vzcx5psGF9OnBh.lXi7GwE0Yt9yqWPZAS1RXUtCch6;etudiant
44;Bonnet;Raymond;NULL;NULL;NULL;NULL;gsi;30;15,208;RaymondBonnet@cy-tech.fr;$2y$10$PSQ.Qi9FxlYZs9tO8lUhNuF5mdiqGyRvz65IpUU.wPd6C3t0TEVWC;etudiant
45;Leblanc;Clémence;NULL;NULL;NULL;NULL;gsi;30;15,206;ClémenceLeblanc@cy-tech.fr;$2y$10$n/Ia13N8codPZGrFZgq2uO4CF5pS1P21gxP7FqC9H36B9gwtexKya;etudiant
46;Marin;Gilbert;NULL;NULL;NULL;NULL;gsi;30;15,169;GilbertMarin@cy-tech.fr;$2y$10$HrQGdAlSaKknmmvXptmaq.4KD4Q5ob9rg0cDOBQ3noInGqfRRlJuO;etudiant
47;Humbert-Barbe;Noémi;NULL;NULL;NULL;NULL;gsi;30;15,128;NoémiHumbert-Barbe@cy-tech.fr;$2y$10$bTcNDlB07euX40g2POmF2.774hzg3ZQfDRxXG/JBeoSJeGDO3uf/C;etudiant
48;de;Étienne;NULL;NULL;NULL;NULL;gsi;30;15,089;Étiennede@cy-tech.fr;$2y$10$kfJw8d0RlWIQEd9H6wM3tO9JwEAI.GkREhw449HcL52sRcTVCWMxS;etudiant
49;de;Philippine;NULL;NULL;NULL;NULL;gsi;30;15,056;Philippinede@cy-tech.fr;$2y$10$62/cDnprrscHOwxeLB7zy.JPTaDBjfWvKb7XacP7eZPHC58v.hn8O;etudiant
50;Thibault;Juliette;NULL;NULL;NULL;NULL;gsi;30;15,004;JulietteThibault@cy-tech.fr;$2y$10$9cGpb9ExxwkuqznAgZp.cuWE4ChP8U/H6r662nbnkvoCyDo7VKO56;etudiant
51;de;François;NULL;NULL;NULL;NULL;gsi;30;14,982;Françoisde@cy-tech.fr;$2y$10$BX7.7/PBHPL4Ai6DzsdZN.TXYmJeBIc3QNA0EhBP9emNWhAoMBGUy;etudiant
52;du;Léon;NULL;NULL;NULL;NULL;gsi;30;14,927;Léondu@cy-tech.fr;$2y$10$HI320JCIcP0MK2iITcXdm.Kh7aroXAgvEQByDnkeklg/ZgyACmGbG;etudiant
53;Alves;Maurice;NULL;NULL;NULL;NULL;gsi;30;14,918;MauriceAlves@cy-tech.fr;$2y$10$cQ4wmFD2ywo13lmEKoUldOWcjOb2zT1VdrqWdT74xORKv5xiQIY66;etudiant
54;Blanc;Marie;NULL;NULL;NULL;NULL;gsi;30;14,894;MarieBlanc@cy-tech.fr;$2y$10$bSHXs13Xa3BT7ModvBKJM.TypJ7ROpFlZg.wzJ48MUs6ADnj0iOFm;etudiant
55;Clement;Denise-Alexandrie;NULL;NULL;NULL;NULL;gsi;30;14,88;Denise-AlexandrieClement@cy-tech.fr;$2y$10$ZIbRHhPxwXvGtCh/CJ7jOuTgFuWIXPQB/iy246Dt7YOm94.qtkWL2;etudiant
56;Ribeiro;Luc;NULL;NULL;NULL;NULL;gsi;30;14,854;LucRibeiro@cy-tech.fr;$2y$10$uUvoN9P4zgBpfwGaSmKPaOqW0ieOurzerLFq501Lfddf0pzZYbCsa;etudiant
57;du;Charlotte;NULL;NULL;NULL;NULL;gsi;30;14,849;Charlottedu@cy-tech.fr;$2y$10$0zcCb/NCQJkNmgBy/J0Gz.RSzymTCl5fTHxOYnOLXjwL0fHuslZyG;etudiant
58;du;Michèle;NULL;NULL;NULL;NULL;gsi;30;14,835;Michèledu@cy-tech.fr;$2y$10$BVXYQG67XT6J0p36jfm7Qu80nziDRPyKiqdfqflOra6dT.4zPsJgK;etudiant
59;Maillet;Hortense;NULL;NULL;NULL;NULL;gsi;30;14,732;HortenseMaillet@cy-tech.fr;$2y$10$CnrT4Ry5Z5LcvNk3tiV/k.SicA86d1GY5KdKCg9N7B1dMQE3aPNpm;etudiant
60;Chauveau;Françoise;NULL;NULL;NULL;NULL;gsi;30;14,724;FrançoiseChauveau@cy-tech.fr;$2y$10$T2vfXrkZqiJvobJlLoczC.L//sykxuPMOERsecR5oGYZAg6zdIpXm;etudiant
61;Le;Jeanne;NULL;NULL;NULL;NULL;gsi;30;14,689;JeanneLe@cy-tech.fr;$2y$10$dvTxP6Oo3uv1r7nbXK/NxenPEMeRXYW9zC1yfciPWKd20cWB6QMRq;etudiant
62;Giraud;Louis;NULL;NULL;NULL;NULL;gsi;30;14,683;LouisGiraud@cy-tech.fr;$2y$10$hh2KGIGYrg8OpNdd0nH7CuMuoh2RRRPjDdsOlW/Z9mGEHHey8p2BW;etudiant
63;Lemaire;Hugues;NULL;NULL;NULL;NULL;gsi;30;14,65;HuguesLemaire@cy-tech.fr;$2y$10$THZhFtHtvpI/82j4KBd/murjzkuzvK6uGBN7hV5KtKIOkGPMaAImi;etudiant
64;Roy-Perret;Yves;NULL;NULL;NULL;NULL;gsi;30;14,635;YvesRoy-Perret@cy-tech.fr;$2y$10$11jeeQP6.5EtFJb0wmBTs.OzSriqyXpg61inkOCngfaVnpywUS82m;etudiant
65;Riou;Isaac;NULL;NULL;NULL;NULL;gsi;30;14,633;IsaacRiou@cy-tech.fr;$2y$10$tbIkvm5s29I55xL1hzHT3O/Sqf54LXI1xPA27MD2mdEkI.NE4PiIy;etudiant
66;Mace-Carre;Daniel;NULL;NULL;NULL;NULL;gsi;30;14,632;DanielMace-Carre@cy-tech.fr;$2y$10$2E1nR0csAo79TeKfglnG4uksRizgdfA1zolcEMZYJm4pLZu9Bijai;etudiant
67;Normand;Laurence;NULL;NULL;NULL;NULL;gsi;30;14,573;LaurenceNormand@cy-tech.fr;$2y$10$jEpYRINkAzjQKN6chyhioOWrF6iDdtJGMtj53qXsIoy.GbLbtTys6;etudiant
68;Etienne;Antoine;NULL;NULL;NULL;NULL;gsi;30;14,559;AntoineEtienne@cy-tech.fr;$2y$10$aeMD0DYxNbfc2mhO4CFDqeNbT74TJi9OTHW2jyeGlytv9ISjfi5vO;etudiant
69;Le;Éric;NULL;NULL;NULL;NULL;gsi;30;14,557;ÉricLe@cy-tech.fr;$2y$10$0briZW4PqQeoaJi3VpkAj.vjmVwqnEtbtZFn7BsZTF4yPBRAhaMM2;etudiant
70;Rolland;Lucas;NULL;NULL;NULL;NULL;gsi;30;14,549;LucasRolland@cy-tech.fr;$2y$10$CdYlXXcTt4z3oInkhWWYHe//fK9AHXeKpwT5U2Wu/tpFKFn/9xsU.;etudiant
71;Barre-Vallee;Frédérique;NULL;NULL;NULL;NULL;gsi;30;14,522;FrédériqueBarre-Vallee@cy-tech.fr;$2y$10$3IB74QrvyFBAcd3j7ACEceUFUR7njbsul2KOMjpUWghSTTBoiJGpa;etudiant
72;Bailly;Laurence;NULL;NULL;NULL;NULL;gsi;30;14,516;LaurenceBailly@cy-tech.fr;$2y$10$9Q9fTyXhpW/ZliqR6wwST.jBYJVoTAF0SCTxWaq0qk34WEnoP00/q;etudiant
73;Evrard;Noémi;NULL;NULL;NULL;NULL;gsi;30;14,495;NoémiEvrard@cy-tech.fr;$2y$10$u/fbihZvpF.QSpOvt0CEzOMhV8l7wf3jCC.PRaQhiLHPYE7o/wYrW;etudiant
74;Faivre;Thibault;NULL;NULL;NULL;NULL;gsi;30;14,348;ThibaultFaivre@cy-tech.fr;$2y$10$MtMiPGxBNvE7kG.5eQklTeYQFm4unWhODO3JthDiNzUE62xdGcypa;etudiant
75;de;Suzanne;NULL;NULL;NULL;NULL;gsi;30;14,33;Suzannede@cy-tech.fr;$2y$10$2c25VNNHDVRKc/LjmrMXOuq4sOj1jnUiG7D3JvwgPcJuwjGcOY8g.;etudiant
76;Dumas;Eugène;NULL;NULL;NULL;NULL;gsi;30;14,321;EugèneDumas@cy-tech.fr;$2y$10$USNGK/PqR6/wVUBcdhi0HOAKFf4Tdc8kzfdupGOe7zqxIxMk7jNQe;etudiant
77;Vidal;Michelle;NULL;NULL;NULL;NULL;gsi;30;14,318;MichelleVidal@cy-tech.fr;$2y$10$1olVGeqz0ZZjC9RZWeafg.LFv.eSxg1.MmbJqZdhCZHmOPpExcDRu;etudiant
78;Gomez;René;NULL;NULL;NULL;NULL;gsi;30;14,276;RenéGomez@cy-tech.fr;$2y$10$cdL/vusxcNZbjOUuAdfD2.LJleygvUPCUhxnEN8g2omHhMJir7PkC;etudiant
79;Lebreton;Denise;NULL;NULL;NULL;NULL;gsi;30;14,272;DeniseLebreton@cy-tech.fr;$2y$10$S.DNImIdWnHgSk9tqsVXNuXPY0k17ymYpI5mu7peaYLABLw/fvQpW;etudiant
80;Godard-Clerc;David;NULL;NULL;NULL;NULL;gsi;30;14,256;DavidGodard-Clerc@cy-tech.fr;$2y$10$fHDB1HNjCRxIyf06scB9eerjXBx9Ny7yeGOBqETr/4sOkWuMUhR4e;etudiant
81;Leroux;François;NULL;NULL;NULL;NULL;gsi;30;14,251;FrançoisLeroux@cy-tech.fr;$2y$10$XLvw4zK7Say3nFqTCIheB.OvmwPXRboD5ARTmT.HXU5zWmZ92XuDO;etudiant
82;Cordier;Célina;NULL;NULL;NULL;NULL;gsi;30;14,246;CélinaCordier@cy-tech.fr;$2y$10$UG3gvDHfvdlVfRCAKap.9OFuMYySBhJ4g1M2JSEZet17YAYFrLdBW;etudiant
83;Turpin;Marcelle;NULL;NULL;NULL;NULL;gsi;30;14,244;MarcelleTurpin@cy-tech.fr;$2y$10$ox5TxSXX6UjtAW3TfH0JhummSV90Qr9WuVzk4tSjqKtEEV0.J0uoG;etudiant
84;Guillou;Benjamin;NULL;NULL;NULL;NULL;gsi;30;14,225;BenjaminGuillou@cy-tech.fr;$2y$10$KyX5faMDAANUj7m1Boop9uAHs8SxA4oIpy3eXsG9u2lVk9iEE7dDW;etudiant
85;Renault-Jean;Lucas;NULL;NULL;NULL;NULL;gsi;30;14,207;LucasRenault-Jean@cy-tech.fr;$2y$10$ryv14FL9ZSqO775HDDZor.k0oCIBqhCMyA2yyz2PvWTsJRwOFWZkC;etudiant
86;du;Gabriel;NULL;NULL;NULL;NULL;gsi;30;14,198;Gabrieldu@cy-tech.fr;$2y$10$CqD/a.MUWniBVrXpcRPmOudgSX.6byNfwhMcaI6Ux8xPWpDBSkJhG;etudiant
87;de;Anaïs;NULL;NULL;NULL;NULL;gsi;30;14,185;Anaïsde@cy-tech.fr;$2y$10$u2hWsCA4aYXhxB4i99wspOktmYTlZR/IghWL/gxcICeqfSVu3/.Y6;etudiant
88;Techer;Agathe;NULL;NULL;NULL;NULL;gsi;30;14,182;AgatheTecher@cy-tech.fr;$2y$10$8cGFgrLREgAb.365XWn5ie.XQNdB16deCq9PK2upSqCscNiZoxj0G;etudiant
89;du;Étienne;NULL;NULL;NULL;NULL;gsi;30;14,17;Étiennedu@cy-tech.fr;$2y$10$2T7PrgCOdpdXJjak4/J2je50NMR0jHo6cw51oDYAnWDmQAgoLJHs6;etudiant
90;Richard;Andrée;NULL;NULL;NULL;NULL;gsi;30;14,137;AndréeRichard@cy-tech.fr;$2y$10$B0Xny0PJOYcz9OYvyaw.L.9hGEHMuZXnhamn4amV3a4jK/qg.rG2u;etudiant
91;Chevallier;Antoinette;NULL;NULL;NULL;NULL;gsi;30;14,125;AntoinetteChevallier@cy-tech.fr;$2y$10$P41PqCkzvWjKIQ.DBPL6SeUAKU.IYs2O836X9f4uhPI0r3CTSaCZC;etudiant
92;Le;Alphonse;NULL;NULL;NULL;NULL;gsi;30;14,121;AlphonseLe@cy-tech.fr;$2y$10$xMdNDeuz4PpAKAVZ6fIRUeWYoirPtZBU/5xG6mjLdzbTVwnR8grGK;etudiant
93;Maillard;Lucas;NULL;NULL;NULL;NULL;gsi;30;13,923;LucasMaillard@cy-tech.fr;$2y$10$FRmINYzCUwkCrsfyCTaLoeMhwplMGWlleJgp3XVZmktDv6bobFZbu;etudiant
94;Leleu;André;NULL;NULL;NULL;NULL;gsi;30;13,798;AndréLeleu@cy-tech.fr;$2y$10$rICf6FPp.JZb5fM5gtiG4OLlCkRg38FnJXJP7PxSqX8bOJAy6FEL2;etudiant
95;Riou;Emmanuel;NULL;NULL;NULL;NULL;gsi;30;13,785;EmmanuelRiou@cy-tech.fr;$2y$10$Mh0DZxcZkHex88.fZoZdJeOcU7Lwx6oxdX4OvIWfyFBeQOOMqYc6.;etudiant
96;Lesage;David;NULL;NULL;NULL;NULL;gsi;30;13,775;DavidLesage@cy-tech.fr;$2y$10$OmK5rbTHmuNyftVeG82LX.VRLMN0K99zaJRuqMrcS2VgPbFQUs2..;etudiant
97;Dubois;Grégoire;NULL;NULL;NULL;NULL;gsi;30;13,753;GrégoireDubois@cy-tech.fr;$2y$10$mMIV0S5HFBJts9IFPHx2Nu.4MV0Dshk.PsD1cCjf2f6lQSZzMt62i;etudiant
98;Leclercq;Paulette;NULL;NULL;NULL;NULL;gsi;30;13,729;PauletteLeclercq@cy-tech.fr;$2y$10$lSNsPts2RNGqMzANuEAIZuvsl.9oxagB1qh4q7Nisr0fQphjytKJG;etudiant
99;Faure;Thierry;NULL;NULL;NULL;NULL;gsi;30;13,724;ThierryFaure@cy-tech.fr;$2y$10$kN.kMcTmQZ3Q70VSLPEezOkOWJJt15q8AqHB.Ffkx4r5oSuNEPnMO;etudiant
100;Boyer;Pierre;NULL;NULL;NULL;NULL;gsi;30;13,718;PierreBoyer@cy-tech.fr;$2y$10$MkzuaylyKbi7Fy6MvikrZuT95Cd0pwNX8PUGcw7x9MzmSPyz9L.P2;etudiant
101;Benard-Charpentier;Éric;NULL;NULL;NULL;NULL;gsi;30;13,689;ÉricBenard-Charpentier@cy-tech.fr;$2y$10$4IcU5vBsyUSD9KpvFHxbmeRWtwWMJmjaXvTVgP7RxpTqeVc/wlY.6;etudiant
102;Gauthier-Martineau;Marcelle;NULL;NULL;NULL;NULL;gsi;30;13,572;MarcelleGauthier-Martineau@cy-tech.fr;$2y$10$g4/4K8J2fKzydn0RbwfFl.UC1iMOTbERLSXLzgvCzlRHQGpewnBgG;etudiant
103;Delmas;Christiane;NULL;NULL;NULL;NULL;gsi;30;13,454;ChristianeDelmas@cy-tech.fr;$2y$10$CrfTcgkrRcc6iMwT.TSgWuGDue0crdNxdn68Kf6PMxtCNFudUsicu;etudiant
104;Cousin;Corinne;NULL;NULL;NULL;NULL;gsi;30;13,436;CorinneCousin@cy-tech.fr;$2y$10$F2fTBtKyzOlSYC7mNgtGEuAmYHPeM4t3S1.RO2rslpm1uUSbJcEPe;etudiant
105;du;William;NULL;NULL;NULL;NULL;gsi;30;13,426;Williamdu@cy-tech.fr;$2y$10$Px4a6xzKIW.P1BZfJ8eSYuT2v16S8vhIDFLrHzCxNz8nB5dDbDTzK;etudiant
106;Maurice;Renée;NULL;NULL;NULL;NULL;gsi;30;13,418;RenéeMaurice@cy-tech.fr;$2y$10$TdN.MsJ2glguwTXvNvYL9OEx4rvKg6fQQjkVhQ0HBekTaQzIFIcci;etudiant
107;Weber;Zacharie;NULL;NULL;NULL;NULL;gsi;30;13,371;ZacharieWeber@cy-tech.fr;$2y$10$bZl5qMtfYyGHCIMQFuYGbuAt83jRwradVdNuIo4gQ038/KqSBIHDK;etudiant
108;Rousseau;Louis;NULL;NULL;NULL;NULL;gsi;30;13,354;LouisRousseau@cy-tech.fr;$2y$10$8EdgR4zCVVWPJ1xZAIBf8OYNrntw4yCGLg04TRTT0prklNQmusIei;etudiant
109;Hamel;Philippe;NULL;NULL;NULL;NULL;gsi;30;13,291;PhilippeHamel@cy-tech.fr;$2y$10$GySPtIO1ZpZvoiqG1SPyJ.VhLij4WiPxeVikB2rRidf5bW83yPAQS;etudiant
110;Mercier;Élise;NULL;NULL;NULL;NULL;gsi;30;13,287;ÉliseMercier@cy-tech.fr;$2y$10$hBCX3hR3vo1Uoex5CcCL5e/0ga/3d.2zrs6YRH9pd7AuKLUdWNAc2;etudiant
111;Chauvet;Bernard;NULL;NULL;NULL;NULL;gsi;30;13,278;BernardChauvet@cy-tech.fr;$2y$10$uCN8YDeG5BDyUTM01Dx0KuIL4kj5On6auzooFgN830uBVMKrCJw.S;etudiant
112;Pasquier;Théodore;NULL;NULL;NULL;NULL;gsi;30;13,274;ThéodorePasquier@cy-tech.fr;$2y$10$EGbKZKnK0GpGX0aUu/wECu4uxWfQjEiCzd.TUIt48.egTDPQVECiG;etudiant
113;Begue;Adèle;NULL;NULL;NULL;NULL;gsi;30;13,236;AdèleBegue@cy-tech.fr;$2y$10$mz7dg5yIItVlxCh56KHcLuNX7uSA3yAnWzp0osDQYNjLmxCCSmDf.;etudiant
114;Dumont;Adrien;NULL;NULL;NULL;NULL;gsi;30;13,209;AdrienDumont@cy-tech.fr;$2y$10$xuVlaTzyyN9Agm7ocnW6E.TYITOEEQFyQL/4p4fJQzs9reypsN0by;etudiant
115;Ferrand-Texier;Gilbert;NULL;NULL;NULL;NULL;gsi;30;13,16;GilbertFerrand-Texier@cy-tech.fr;$2y$10$fh1h29eNzA7m45tAweavxOs1W19AO2bdIvLB4NqbAwlPlt4nf3o7i;etudiant
116;Rocher;Anastasie;NULL;NULL;NULL;NULL;gsi;30;13,151;AnastasieRocher@cy-tech.fr;$2y$10$CAmCJwQkiH7k8EPeZUzUh.3PHJ/c7O0eLlH9x4fyDKcPHLTBsPCsa;etudiant
